Device_id,Time,SensorLocation,LatLong,MinimumWindDirection,AverageWindDirection,MaximumWindDirection,MinimumWindSpeed,AverageWindSpeed,GustWindSpeed,AirTemperature,RelativeHumidity,AtmosphericPressure,PM25,PM10,Noise
ICTMicroclimate-08,2024-06-26T06:15:56+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,91.0,359.0,0.0,1.8,5.1,11.2,63.5,1012.9,4.0,7.0,64.1
aws5-0999,2024-06-26T06:11:34+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,0.0,357.0,0.0,0.0,0.5,9.6,80.2,1010.5,,,
ICTMicroclimate-08,2024-06-26T06:30:58+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,1.0,358.0,0.0,1.2,3.4,11.0,64.8,1013.1,4.0,7.0,75.0
ICTMicroclimate-02,2024-06-26T06:33:10+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",130.0,138.0,195.0,0.5,0.9,1.4,10.9,73.0,1008.4,1.0,3.0,69.9
ICTMicroclimate-06,2024-06-26T06:40:16+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,26.0,359.0,0.0,0.6,3.3,10.8,66.6,1013.3,1.0,1.0,73.6
ICTMicroclimate-03,2024-06-26T06:41:45+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,354.0,356.0,0.0,1.0,2.0,10.6,73.6,1007.8,1.0,3.0,69.9
ICTMicroclimate-01,2024-06-26T06:35:11+10:00,Birrarung Marr Park - Pole 1131,"-37.8185931, 144.9716404",,136.0,,,0.8,,9.9,75.400002,1012.799988,0.0,3.0,50.599998
ICTMicroclimate-02,2024-06-26T06:48:13+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",0.0,341.0,354.0,0.0,0.5,1.8,11.0,72.7,1008.7,1.0,3.0,69.9
ICTMicroclimate-01,2024-06-26T06:50:11+10:00,Birrarung Marr Park - Pole 1131,"-37.8185931, 144.9716404",,100.0,,,0.4,,9.8,77.0,1013.099976,0.0,3.0,49.299999
ICTMicroclimate-09,2024-06-26T06:54:00+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,319.0,359.0,0.0,1.1,3.2,10.6,66.1,1012.3,0.0,0.0,61.1
ICTMicroclimate-08,2024-06-26T07:01:04+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,347.0,358.0,0.0,0.4,3.2,11.0,65.0,1013.5,4.0,7.0,77.9
ICTMicroclimate-03,2024-06-26T06:56:47+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,309.0,351.0,0.0,0.8,1.2,10.4,74.5,1007.8,1.0,3.0,70.3
ICTMicroclimate-09,2024-06-26T07:24:04+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,47.0,358.0,0.0,1.5,4.1,10.7,66.0,1012.3,0.0,0.0,78.3
ICTMicroclimate-06,2024-06-26T07:25:23+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,46.0,356.0,0.0,1.7,4.5,10.5,67.6,1013.7,1.0,1.0,71.8
ICTMicroclimate-03,2024-06-26T07:26:52+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,352.0,355.0,0.8,2.1,1.6,10.5,74.2,1007.9,1.0,3.0,70.5
aws5-0999,2024-06-26T07:27:00+10:00,Royal Park Asset ID: COM2707,"-37.7956167, 144.9519007",0.0,62.0,199.0,0.3,0.0,2.3,9.5,82.6,1011.4,,,
ICTMicroclimate-09,2024-06-26T07:39:05+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,300.0,357.0,0.0,1.9,4.4,10.7,66.6,1012.5,0.0,0.0,65.4
ICTMicroclimate-06,2024-06-26T07:40:24+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,4.0,359.0,0.0,1.9,4.7,10.6,67.6,1013.7,1.0,1.0,67.3
ICTMicroclimate-02,2024-06-26T07:33:19+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",109.0,137.0,179.0,1.3,2.2,3.4,10.9,73.7,1008.9,1.0,3.0,71.2
ICTMicroclimate-08,2024-06-26T07:46:10+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,351.0,359.0,0.0,2.4,5.7,11.0,65.5,1013.7,4.0,7.0,87.4
ICTMicroclimate-03,2024-06-26T07:56:55+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,350.0,356.0,0.0,1.8,5.5,10.4,75.0,1008.1,1.0,3.0,73.3
ICTMicroclimate-03,2024-06-26T08:11:57+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,359.0,269.0,0.0,1.1,1.4,10.3,76.3,1008.1,1.0,3.0,71.9
ICTMicroclimate-02,2024-06-26T08:18:25+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",85.0,132.0,150.0,1.7,2.0,4.0,10.9,74.6,1008.9,1.0,3.0,70.0
ICTMicroclimate-06,2024-06-26T08:25:30+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,66.0,359.0,0.0,1.7,8.1,10.6,68.2,1013.7,1.0,1.0,63.6
ICTMicroclimate-08,2024-06-26T08:31:16+10:00,Swanston St - Tram Stop 13 adjacent Federation Sq & Flinders St Station,"-37.8184515, 144.9678474",0.0,24.0,358.0,0.0,1.2,5.9,10.9,66.4,1013.5,4.0,7.0,76.3
ICTMicroclimate-02,2024-06-26T08:33:27+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",0.0,345.0,353.0,0.3,1.1,2.1,10.8,75.2,1008.8,1.0,6.0,70.6
ICTMicroclimate-09,2024-06-26T08:39:14+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,58.0,359.0,0.0,1.4,4.8,10.6,67.6,1012.3,0.0,0.0,65.0
ICTMicroclimate-01,2024-06-26T08:50:16+10:00,Birrarung Marr Park - Pole 1131,"-37.8185931, 144.9716404",,129.0,,,0.5,,9.8,78.699997,1013.099976,0.0,3.0,53.099998
ICTMicroclimate-09,2024-06-26T08:54:16+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,166.0,359.0,0.0,1.0,5.4,10.6,66.9,1012.5,0.0,0.0,68.4
ICTMicroclimate-06,2024-06-26T08:55:35+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,57.0,359.0,0.0,2.2,6.6,10.5,68.5,1013.9,1.0,1.0,77.3
ICTMicroclimate-06,2024-06-26T08:55:35+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,17.0,359.0,0.0,1.6,6.2,10.6,68.0,1013.7,1.0,1.0,77.2
ICTMicroclimate-02,2024-06-26T09:03:33+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",130.0,66.0,208.0,1.3,1.3,2.7,10.6,76.4,1009.0,4.0,6.0,71.8
ICTMicroclimate-03,2024-06-26T08:57:03+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,330.0,350.0,0.0,1.4,2.3,10.3,76.8,1008.2,2.0,4.0,71.0
ICTMicroclimate-07,2024-06-26T09:12:20+10:00,Tram Stop 7C - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8222341, 144.9829409",0.0,314.0,358.0,0.0,1.8,5.5,10.6,68.8,1016.1,1.0,1.0,92.9
ICTMicroclimate-03,2024-06-26T09:12:05+10:00,CH1 rooftop,"-37.8140348, 144.96728",0.0,333.0,357.0,0.1,2.1,4.0,10.9,73.8,1008.3,4.0,6.0,77.8
ICTMicroclimate-09,2024-06-26T09:24:20+10:00,SkyFarm (Jeff's Shed). Rooftop - Melbourne Conference & Exhibition Centre (MCEC),"-37.8223306, 144.9521696",0.0,303.0,359.0,0.0,0.9,3.3,10.7,67.7,1012.9,0.0,0.0,65.7
ICTMicroclimate-06,2024-06-26T09:25:39+10:00,Tram Stop 7B - Melbourne Tennis Centre Precinct - Rod Laver Arena,"-37.8194993, 144.9787211",0.0,339.0,359.0,0.0,2.2,7.3,11.7,64.9,1013.9,3.0,3.0,85.9
ICTMicroclimate-02,2024-06-26T09:33:36+10:00,101 Collins St L11 Rooftop,"-37.814604, 144.9702991",0.0,78.0,347.0,0.0,0.4,1.6,11.3,74.2,1009.3,2.0,4.0,70.6
ICTMicroclimate-01,2024-06-26T09:35:16+10:00,Birrarung Marr Park - Pole 1131,"-37.8185931, 144.9716404",,98.0,,,0.6,,11.1,72.400002,1013.400024,0.0,3.0,50.799999
